name,seller name,price,sales,release date,release month,release year,rating,genres,code,data recording date
【骨伝導風】道草屋 たびらこ-一緒にはみがき【耳かき&はみがき】【英語版・中国語版】,桃色CODE,880,45,2020年02月28日,02,2020,5.0,,RJ279508,2020-04-22
【甘がみ】道草屋 すずな-ひろいもの-【マッサージ】【英語版・中国語版】,桃色CODE,770,54,2020年03月05日,03,2020,4.89,耳かき 手コキ ,RJ280006,2020-04-22
【オーラルセラピー】道草屋 たびらこ5 ～おまかせコース～【炭酸洗顔】,桃色CODE,880,6507,2020年04月19日 0時,04,2020,4.95,癒し 淡白/あっさり バイノーラル/ダミヘ ASMR 耳舐め ささやき 着物/和服 ,RJ284644,2020-04-22
【甘がみ】道草屋 芹-ほろよい-【マッサージ】【英語版・中国語版】,桃色CODE,770,81,2020年02月13日,02,2020,4.71,耳かき ローション ,RJ277925,2020-04-22
【温泉素潜り】道草屋-いのこ2 湯けむりいのこ旅慕情【昔話耳かき】【英語版・中国語版】,桃色CODE,880,21,2020年02月19日,02,2020,5.0,バイノーラル/ダミヘ 耳かき ,RJ278570,2020-04-22
【174khzハイレゾ】道草屋-芹-夏休み【切抜き耳かき】【英語版・中国語版】,桃色CODE,880,26,2020年02月07日,02,2020,4.56,癒し バイノーラル/ダミヘ 耳かき ,RJ277492,2020-04-22
【ご旅行耳かき】道草屋 いのこ【乳液耳揉み】【英語版・中国語版】,桃色CODE,880,28,2020年01月30日,01,2020,4.9,癒し バイノーラル/ダミヘ 耳かき ,RJ276959,2020-04-22
【タッチ耳かき】道草屋-たびらこ3-いっしょにタッチケア/はみがきレッスン【骨伝導風はみがき】【英語版・中国語版】,桃色CODE,880,47,2020年01月30日,01,2020,4.8,耳かき ,RJ276958,2020-04-22
【散髪シャンプー】道草屋 すずな『バーバーすずな』【二人で耳かき】【英語版・中国語版】,桃色CODE,880,1019,2020年01月24日,01,2020,4.67,バイノーラル/ダミヘ 耳かき ,RJ276067,2020-04-22
【原風景耳かき】道草屋 稲【ソルフェジオ音源】【英語版・中国語版】,桃色CODE,770,103,2020年01月24日,01,2020,4.78,バイノーラル/ダミヘ 耳かき ,RJ276071,2020-04-22
【箱庭耳かき】安眠店 道草屋 はこべら【耳舐め】【英語版・中国語版】,桃色CODE,770,519,2020年01月24日,01,2020,4.64,耳かき ,RJ276069,2020-04-22
【耳かき】耳かき安眠店 道草屋 せり ver1.5【耳舐め】【英語版・中国語版】,桃色CODE,770,812,2020年01月24日,01,2020,4.65,耳かき ,RJ276074,2020-04-22
【アイヌ系】道草屋 すずな 囲炉裏の音【うたた寝音声】【英語版・中国語版】,桃色CODE,880,1434,2020年01月24日,01,2020,4.7,バイノーラル/ダミヘ 耳かき ,RJ276065,2020-04-22
【田舎耳かき】道草屋 芹-ご連泊【ソルフェジオ音源】【英語版・中国語版】,桃色CODE,880,533,2020年01月24日,01,2020,4.78,バイノーラル/ダミヘ 耳かき ,RJ276075,2020-04-22
【耳かき】耳かき安眠店 道草屋 すずしろ ver1.5【耳舐め】【英語版・中国語版】,桃色CODE,770,855,2020年01月24日,01,2020,4.63,バイノーラル/ダミヘ 耳かき ,RJ276064,2020-04-22
【田舎耳かき】道草屋 すずしろ-縁側 【あまがみ】【英語版・中国語版】,桃色CODE,880,920,2020年01月24日,01,2020,4.73,耳かき ,RJ276063,2020-04-22
【192khzハイレゾ】道草屋 たびらこ【古宿耳かき】【英語版・中国語版】,桃色CODE,770,444,2020年01月24日,01,2020,4.74,癒し バイノーラル/ダミヘ 耳かき ,RJ276068,2020-04-22
【耳かき】耳かき安眠店 道草屋  すずな【甘がみ】【英語版・中国語版】,桃色CODE,770,542,2020年01月24日,01,2020,4.59,耳かき ,RJ275763,2020-04-22
【枕元焚き火】道草屋 いのこ3 焚き火とぶんぶく初茶釜【招福祈願】,桃色CODE,880,5562,2020年01月18日,01,2020,4.91,癒し バイノーラル/ダミヘ ASMR 耳かき 耳舐め 着物/和服 ,RJ275547,2020-04-22
【秋音耳かき】道草屋 はこべら日帰り 離れの秘密基地【趣味の音】,桃色CODE,880,7048,2019年10月14日,10,2019,4.91,癒し バイノーラル/ダミヘ ASMR 耳かき 耳舐め 着物/和服 ,RJ267279,2020-04-22
【雨音喫茶】道草屋 すずしろ7-雨のち晴れの日【目隠しマッサージ】,桃色CODE,880,11134,2019年08月04日,08,2019,4.93,癒し バイノーラル/ダミヘ ASMR 耳かき ほのぼの 着物/和服 ,RJ260122,2020-04-22
【初夏耳かき】道草屋 芹7 ゆうがた【湯船怪談】,桃色CODE,880,8085,2019年05月26日,05,2019,4.93,バイノーラル/ダミヘ 耳かき ホラー 耳舐め ,RJ253947,2020-04-22
